year,month,ObsMxT,ObsMnT,MxT461,MnT461,ObsRn,tas,tasmax,tasmin,pr,evspsbl,hfls,hfss,huss,mrro,ps,psl,rlds,rsds,rlus,rlut,rsus,uas,vas,mslpas,tempas,p5_fas,p5_uas,p5_vas,p5_zas,p5thas,p5zhas,p8_fas,p8_uas,p8_vas,p8_zas,p8thas,p8zhas,p500as,p850as,p__fas,p__uas,p__vas,p__zas,p_thas,p_zhas,s500as,s850as,shumas,nina12,nina34,nina4,nina3,wtio,setio,swio,soi,noi,wp,ep,pna,pdo
1971,Nov,30.56666667,20.11,-,-,-,20.65383333,26.59683333,15.12243333,1.286997384,3.40E-05,85.15528,30.972663,0.012088842,2.53E-07,99909.7,101164.5333,356.1878333,213.2079867,421.9730667,270.4234667,34.71695733,-1.734737133,-3.379615233,-0.017266667,-0.326266667,-0.060633333,-0.870966667,0.129566667,0.411533333,222.2716333,0.132033333,0.370333333,-1.1208,-0.133833333,0.415433333,267.8801667,0.632,-0.1069,-0.018666667,-0.088033333,-0.779533333,-0.0911,0.599933333,266.9793667,0.483666667,0.122166667,0.6584,0.066833333,21.13,25.58,27.62,23.9,-,-,-,0.9,3.086,0.29,-0.23,-0.26,-1.25
1971,Dec,31.70645161,21.06774194,-,-,-,19.77074194,27.34803226,12.88916129,0.126502122,2.49E-05,62.36993548,49.12134516,0.009813776,1.11E-08,100215.5419,101489.7419,327.9453226,237.5278387,416.8926129,289.9993226,39.73172581,-1.805423839,-3.356336129,0.990322581,-1.029935484,-0.395903226,-0.405903226,0.140709677,-0.228903226,188.1174516,-0.035548387,0.154870968,-1.316225806,-0.255096774,0.151,263.4360968,0.632064516,0.122774194,0.640322581,0.612580645,-1.288516129,0.179,0.118225806,279.5415806,0.025967742,-0.602870968,-0.321935484,-1.035645161,21.96,25.61,27.74,23.94,-,-,-,0.1,2.492,0.58,-99.9,-1.46,-1.87
1972,Jan,32,18.94193548,-,-,-,23.60583871,31.6033871,16.07229032,0.214012619,4.53E-06,11.323697,94.09470968,0.011286392,0,100120.0194,101380,346.3457419,242.0281613,441.1939355,302.1610645,40.49423548,-1.982861784,-1.544804794,0.948290323,-0.736322581,-0.302258065,-0.56383871,0.568064516,-0.732258065,222.1710645,-0.292903226,-0.042387097,-1.197806452,0.38016129,-0.329451613,290.0636452,-0.256064516,-0.11583871,0.613935484,0.599,-1.206741935,0.837387097,0.155096774,297.6154839,-0.95783871,-0.578548387,-0.483258065,-0.972290323,24.62,25.84,27.63,25.12,-,-,-,0.6,4.455,0.37,-0.61,-1.41,-1.99
1972,Feb,32.28928571,23.44285714,-,-,-,26.64389286,34.49996429,20.38821429,0.952305781,1.03E-05,25.65907864,91.72017286,0.015968686,0,99917.43929,101157.6429,387.0613214,230.7138857,459.84175,296.7278571,37.32612857,-0.818649211,2.535235357,0.727,-0.149392857,0.237071429,0.5665,0.776857143,-0.628678571,71.84285714,-0.568964286,-0.541821429,-0.884642857,0.379928571,-0.370678571,298.4567143,-0.27275,-0.229071429,0.991035714,-0.654178571,-0.4205,0.637821429,0.489107143,268.3591786,-0.890535714,-0.886857143,-0.540607143,-0.655571429,26.81,26.49,28.14,26.19,-,-,-,1.4,1.071,-1.75,0.45,-1.48,-1.83
1972,Mar,33.31935484,23.47096774,-,-,-,28.21406452,36.35525806,21.78335484,1.254072703,1.51E-05,37.84755677,109.4958484,0.017119152,2.17E-10,99824.29677,101063.7742,393.746,270.8404194,470.8311935,286.5404516,43.2378,-0.886573613,2.64922429,-0.174774194,0.18016129,0.187451613,0.076483871,0.749387097,-0.425612903,137.8685484,-0.540645161,-0.664,-0.691258065,0.509677419,-0.126870968,287.2346129,-0.311774194,-0.479580645,0.170903226,-1.043322581,0.007129032,0.33816129,-0.140645161,160.4471613,-0.650225806,-0.298935484,0.368451613,0.326,27.31,27.08,28.17,26.98,-,-,-,0.1,1.899,-1.95,-1.2,0.2,-2.09
1972,Apr,33.51,24.57333333,-,-,-,30.83923333,39.07943333,23.6113,1.094163145,1.23E-05,30.884517,123.258544,0.017981423,1.17E-10,99577.56667,100777.3,394.4176333,298.9512333,487.4164667,295.1409,47.55129,0.389043738,2.192485,-0.1392,0.1234,0.010933333,-0.629966667,0.791033333,0.006133333,201.6585667,-0.547366667,-0.793766667,-0.2892,0.541566667,0.067833333,158.557,-0.115533333,0.423733333,0.303266667,-1.163933333,0.2241,0.1037,-0.0005,114.9236667,-0.1048,-0.127533333,0.800533333,0.804066667,26.35,28.08,28.93,27.91,-,-,-,-0.6,-0.093,-0.17,-1.16,-1.76,-1.65
1972,May,35.86129032,27.11935484,-,-,-,30.35893548,37.53635484,24.2673871,2.493290925,2.79E-05,69.81991774,91.94144355,0.019152142,0,99454.78065,100657.3871,405.6522581,285.7603871,483.2210323,265.3398387,45.44643226,3.369488645,0.424329845,-0.407612903,0.394903226,-0.39083871,-0.158225806,0.183645161,-0.004774194,165.986871,-0.280354839,-0.266387097,0.243548387,0.489935484,-0.011580645,143.0070968,-0.550225806,0.491,-0.134225806,-0.622935484,0.338580645,0.181548387,-0.240903226,122.3640645,-0.153677419,0.512032258,0.621548387,0.79,25.51,28.36,29.39,27.66,-,-,-,-3.4,-1.278,0.86,0.52,0.14,-1.57
1972,Jun,32.98666667,25.32333333,-,-,-,29.5775,36.96473333,23.9739,2.04401244,2.16E-05,53.99023433,94.60975,0.01892922,0,99456.83,100665.1667,402.2681,268.8695,479.0425667,257.2626667,43.10434,3.798928667,0.86404771,-0.958166667,0.299566667,-0.3425,-0.0963,0.250166667,-0.0718,196.9536,-0.580333333,0.4696,0.791533333,0.411233333,-0.737666667,73.39346667,-0.5985,-0.5611,-0.985066667,-0.261833333,0.642166667,0.2768,-0.929766667,68.90196667,0.155466667,0.8595,0.3327,0.8762,24.86,28.34,29.22,27.41,-,-,-,-1.8,-1.259,1.36,-1.94,-0.24,-1.87
1972,Jul,32.18709677,25.98709677,-,-,-,27.25990323,34.15248387,22.20154839,2.10277925,2.55E-05,63.78966129,79.30558706,0.018456548,0,99410.25806,100613.4194,397.7854839,246.8917419,463.1182258,238.3586452,39.10033226,2.610080097,0.409329984,-0.849516129,0.001451613,-0.230870968,0.146451613,-0.165612903,-0.144548387,123.0159355,-0.201290323,0.965677419,1.216870968,0.485645161,-0.139483871,76.61264516,-0.704741935,-0.970774194,-1.069387097,0.28816129,0.946967742,0.516516129,-0.527870968,70.50432258,-0.152774194,1.144129032,0.543451613,0.750419355,24.07,28.17,29.28,27.03,-,-,-,-3.1,-1.687,-0.96,1.84,-0.76,-0.83
1972,Aug,32.8,25.59677419,-,-,-,25.60948387,30.84993548,22.21787097,5.203399281,3.82E-05,95.52474774,27.85275935,0.018167642,0,99397.20968,100620.3548,395.7323871,208.7242839,450.9014516,224.3020968,32.44194355,3.363380129,0.688072935,-1.111193548,-0.231548387,-0.565645161,-0.253290323,-0.145774194,-0.060806452,144.8362581,-0.200322581,0.935483871,1.242096774,-0.084419355,-0.139709677,90.60974194,-0.189548387,-1.492612903,-1.506967742,0.012,0.879483871,0.11783871,-0.599354839,79.45564516,0.082709677,1.349645161,0.266548387,0.54416129,23.27,28.14,28.94,26.87,-,-,-,-1.6,-1.633,0.73,1.21,-0.01,0.25
