month,year,miub_echo_g.r3.ps,miub_echo_g.r1.rldscs,miub_echo_g.r3.rldscs,miub_echo_g.r1.rsdscs,miub_echo_g.r2.rsdscs,miub_echo_g.r3.rsdscs,miub_echo_g.r1.rsdt,miub_echo_g.r1.rsut,miub_echo_g.r2.rsut,miub_echo_g.r1.rsutcs,miub_echo_g.r2.rsutcs,miub_echo_g.r3.rsutcs,miub_echo_g.r1.rtmt,miub_echo_g.r2.rtmt,miub_echo_g.r3.rtmt,miub_echo_g.r1.tas,miub_echo_g.r1.tauv,miub_echo_g.r2.trsult,miub_echo_g.r3.trsult,miub_echo_g.r1.vas,miub_echo_g.r3.vas,nina12,nina34,nina4,nina3,wtio,setio,swio,soi,noi,wp,ep,pna,pdo
1,2001,100654.5,411.8110352,393.767395,248.03125,252.875,248.96875,354.4453125,91.578125,67.78442383,59.5234375,60.37817383,59.93798828,11.7578125,6.307861328,8.916259766,302.486084,-0.103876591,5.784291267,6.837991714,-1.966785431,-2.448298454,23.88,25.74,27.5,24.99,-0.086676855,-0.28480485,0.089310965,1.8,1.31,0.76,-1.04,1.51,0.6
2,2001,100340.5625,408.8293457,396.9166565,278.640625,281.5546875,280.9921875,388.4466553,88.36460876,82.25506592,64.05210876,64.78631592,64.53965759,37.9074707,42.49560547,37.22924805,303.6130371,-0.017492414,7.449569225,7.185539722,-0.670512199,0.023972511,25.91,26.11,27.27,26.06,0.042971125,-0.385682848,0.403746925,2.4,2.013,2.04,0.55,-0.16,0.29
3,2001,100229.3594,427.9002686,426.9089966,306.4245911,307.2106934,306.3666077,422.7080688,85.20860291,80.91926575,67.7794342,67.51483154,67.24241638,59.66694641,56.88713074,53.72290039,307.5366821,0.02920723,8.334518433,8.019480705,0.781254768,1.056967735,27.44,26.84,27.62,27.23,0.337853944,-0.117998012,0.53440538,0.8,0.853,-1.04,-1.01,0.7,0.45
4,2001,100302.1406,428.9849243,419.7787476,318.3984375,317.78125,317.1484375,440.0390625,123.15625,125.1640625,68.015625,68.6484375,67.77709961,70.85668945,67.85083008,72.91992188,304.4987183,0.077037096,7.994929314,5.933040619,2.059918404,1.500867844,26.69,27.52,28.19,27.52,-0.003869818,-0.140569278,0.423285925,-0.1,2.209,0.99,0.24,-0.47,-0.31
5,2001,100173.0078,422.8582153,421.1636353,316.09375,316.3359375,317.65625,440.8125,141.4609375,115.9562988,68.1875,68.54223633,67.82177734,79.7265625,82.66772461,70.34838867,300.927002,0.032472491,7.721293449,5.151599407,1.282824516,1.546584129,23.77,27.6,28.64,26.89,0.267224825,0.35691084,0.0848307,-1.4,-0.607,-1.7,-1.4,-0.11,-0.3
6,2001,100090.5625,426.9173279,418.303772,314.1484375,314.1640625,313.1484375,437.375,122.4140625,162.8310547,68.421875,67.33886719,67.08007813,71.82714844,62.41137695,55.27197266,303.3087158,0.056895137,5.795449734,6.177996635,1.141359329,2.064466476,21.74,27.68,28.83,26.35,0.151297472,0.227442612,0.14062545,-0.1,1.43,0.08,0.54,-0.94,-0.47
7,2001,99994.6875,418.9191895,414.6602783,314.65625,314.296875,313.7265625,437.03125,171.609375,186.625,66.9609375,66.6171875,66.50952148,73.39990234,40.08227539,36.20361328,300.0773926,0.059477329,5.721205711,5.954176426,1.419865608,2.180096626,20.88,27.32,29.06,25.43,-0.045476983,0.4696555,-0.03241859,-0.7,0.528,-0.96,-1.12,0.06,-1.31
8,2001,100185.1875,417.4958496,412.1051025,314.1953125,313.2890625,315.6171875,436.6171875,192.6015625,162.182373,66.265625,67.25268555,66.578125,37.35058594,46.43432617,50.60986328,299.0039063,0.049282491,8.160685539,4.55909729,1.269408226,0.872227669,19.9,26.87,28.96,24.72,0.05997716,0.618425875,-0.202585335,-1.6,-0.027,-0.53,-2.01,-0.11,-0.77
9,2001,100226.7813,417.3405151,412.147583,304.8070679,304.043335,304.0945435,425.2199707,138.0749054,163.028244,65.72645569,65.82250977,66.46313477,47.26419067,43.69241333,40.95124817,299.4092407,0.011119008,5.977056503,7.055182934,0.502173424,0.146985054,19.39,26.55,29.14,24.27,0.072825946,0.56757312,0.062433574,0.3,-0.811,2.26,-1.05,0.1,-1.37
10,2001,100417.9844,408.038269,409.7167969,279.625,281.46875,280.4609375,396.859375,150.765625,102.96875,64.375,63.5546875,64.34375,24.24926758,37.89892578,34.70092773,298.5447998,-0.098959982,8.134620667,10.9022522,-1.875935555,-1.187692642,19.52,26.59,29.01,24.45,-0.016903788,0.5003002,0.150206605,-0.6,0.734,-0.89,-0.13,-0.22,-1.37
11,2001,100562.75,397.9955444,409.0422974,254.6484375,255.2109375,254.3984375,362.5629883,96.51611328,88.92407227,61.09423828,59.29125977,60.5546875,-4.748535156,22.45751953,14.4519043,299.6792603,-0.161506414,6.395279884,10.2030611,-2.794645309,-2.830120087,20.49,26.45,28.96,24.35,0.21889016,0.121969801,0.121809735,1.2,-2.977,0.82,-0.22,1.09,-1.26
12,2001,100671.0156,397.4025879,387.7567139,243.0703125,242.5390625,240.953125,343.5007324,68.93041992,73.46435547,57.95385742,57.63623047,59.21313477,-14.93017578,-1.358886719,-4.703613281,301.3961182,-0.12923795,5.104209423,9.375153542,-2.396941185,-3.061234474,21.96,26.17,28.6,24.6,0.336521594,0.154458046,0.193940522,-1.9,-0.805,-0.18,-99.9,0.56,-0.93
1,2002,100501.4375,375.1641846,398.4278259,251.9375,251.828125,250.0859375,354.4375,69.796875,68.453125,61.8515625,60.90625,60.4375,0.259277344,9.742919922,4.624023438,300.7821045,-0.10807842,7.235025406,7.210352421,-1.760324478,-0.839173317,23.64,26.5,28.81,25.09,0.29285525,0.420445825,0.214146068,0.7,2.848,0.38,-0.27,-0.04,0.27
2,2002,100471.4922,399.6006775,398.552948,282.15625,277.921875,281.28125,388.4453125,66.44140625,85.98207092,63.66015625,63.73988342,64.62115479,19.25097656,33.12182617,24.15063477,304.3999023,0.028867662,7.023330688,7.190707207,0.768146515,0.374140739,26.06,26.95,28.76,26.21,-0.11508503,-0.15144779,-0.229635038,1.5,2.942,1.34,-0.49,0.14,-0.64
3,2002,100185.2031,424.4090881,430.4037781,307.286377,309.0183411,305.9882813,422.7091064,80.76173401,93.80656433,67.98776245,68.01332092,66.6595459,45.16882324,73.16236877,65.54724121,307.6028442,0.041935682,8.527403831,6.815597534,1.184934616,1.683896065,27.53,27.32,28.68,27.22,0.190751782,0.407574076,0.004680582,-1.4,1.664,0.92,2,-1.3,-0.43
4,2002,100116.8984,432.7800903,430.8356934,319.9765625,316.4140625,317.4765625,440.046875,87.046875,113.7045898,69.2421875,69.19677734,69.578125,72.80688477,71.10620117,82.00561523,307.3845825,0.067192554,10.26745319,10.70032883,1.588937759,1.193245888,26.53,27.94,29.09,27.56,0.037793375,0.409831525,-0.059889453,-0.6,0.226,0.06,0.59,-2.22,-0.32
5,2002,100156.9922,429.9763794,423.0412903,316.1640625,317.6640625,319.1171875,440.8144531,101.1972656,126.9389648,69.26757813,67.70458984,68.421875,88.94458008,79.56274414,78.32617188,303.9151611,0.046928823,4.795164585,5.510465622,1.446235657,1.575610161,24.8,28.15,29.45,27.24,-0.315390375,0.158064233,-0.10874014,-2,-0.127,-1.31,1.86,-0.73,-0.63
6,2002,100129.9844,418.5532532,424.0463867,312.421875,313.5078125,313.7578125,437.375,192.390625,160.5405273,68.046875,66.93896484,67.43896484,60.90795898,60.7109375,81.52441406,299.8742676,0.083572209,5.295679092,6.290745735,1.946567535,1.724126816,22.67,28.43,29.63,27.06,0.022286456,0.31354422,0.3249477,-1.1,0.495,-0.8,0.01,-0.05,-0.35
7,2002,99970.8125,421.722168,419.7266235,314.359375,314.2265625,313.296875,437.0327148,140.3686523,175.640625,66.79833984,66.7265625,66.8605957,61.41064453,60.82128906,39.05029297,300.0402222,0.023644924,6.047215462,7.203386307,0.852485657,1.591158867,21.01,27.98,29.49,26.03,-0.061257444,0.31556265,0.163581338,-1.1,-1.938,-1.66,-0.6,0.88,-0.31
8,2002,100112.4297,414.5336914,414.7982178,315.8203125,314.0625,314.046875,436.625,149.1171875,211.453125,66.515625,66.5546875,66.40112305,77.82324219,24.68383789,31.92211914,299.3065491,0.015731931,5.914495468,5.463103771,0.468816757,1.59733963,19.94,27.79,29.4,25.47,-0.01322429,0.36372012,0.19910472,-2.6,-0.31,-1.79,-0.81,0.64,0.6
9,2002,100224.0313,414.2694092,413.9361572,304.4840393,302.7324829,303.2406006,425.2187805,178.2307739,150.9448242,65.86721802,67.06929016,66.65209961,47.90621948,38.56344604,42.35188293,298.9354553,0.030198276,9.280472755,7.98685503,0.675376892,0.34045887,19.89,27.83,29.44,25.54,0.46141475,-0.011898413,0.433880825,-1.1,-2.719,0.9,-0.99,0.77,0.43
10,2002,100326.7656,414.4451904,414.4858398,280.40625,281.1953125,280.4609375,396.859375,138.1875,140.4726563,63.5,63.54296875,65.140625,23.62597656,30.24023438,31.32568359,299.0984497,-0.014873207,8.217183113,12.55733299,-0.464453697,-1.376036644,21.16,28.05,29.56,25.85,0.29684665,-0.285767093,0.07303465,-1.2,-0.016,-2.42,1.94,-0.65,0.42
11,2002,100502.75,405.9524536,411.6170654,255.140625,255.8828125,254.0078125,362.5654297,90.99511719,79.328125,59.67480469,59.6484375,60.625,3.621337891,10.89892578,20.53686523,299.4353638,-0.126725614,6.851444244,10.34718418,-2.39682579,-2.485330582,22.25,28.27,29.83,26.37,0.229894969,-0.050563746,-0.42900292,-1,-1.922,-1.71,2.21,1.54,1.51
