Day,HT,RealH
8,3.38,1.98
9,3.38,2.03
10,3.44,2.11
11,3.52,2.3
12,3.55,2.4
13,3.56,2.26
14,3.55,2.32
15,3.54,2.22
16,3.52,2.22
17,3.49,2.15
18,3.45,2.1
19,3.4,2.12
20,3.37,2.03
21,3.4,2.15
22,3.46,1.95
23,3.51,2.01
24,3.55,2
25,3.6,2.08
26,3.69,
27,3.73,
28,3.73,
29,3.7,
30,3.63,
