year,month,X478002,X478201,X459201,X459203,X459204,X48012,X48032,X48053,X48092,X48172,X48062,X48182,X48121,X9042,X9052,X9062,X9102,X9160,X48160,X48201,X48131,X48100,X48150,X48193,X48241
1972,8,1.322580645,1.4,1.751612903,1.287096774,1.390322581,1.209677419,1.687096774,1.348387097,1.167741935,1.058064516,1.387096774,1.358064516,1.264516129,2.741935484,0.35483871,2.080645161,1.912903226,1.751612903,1.451612903,1.387096774,1.348387097,1.183870968,1.396774194,1.396774194,1.529032258
1972,9,6.66,6.906666667,8.493333333,6.873333333,6.906666667,6.223333333,7.973333333,6.683333333,5.73,5.32,6.876666667,6.556666667,6.386666667,9.46,7.866666667,10.25,7.623333333,8.086666667,7.463333333,6.733333333,6.756666667,6.333333333,7.763333333,6.893333333,7.22
1972,10,4.183870968,4.477419355,4.467741935,4.480645161,4.532258065,4.035483871,4.5,4.341935484,3.348387097,3.103225806,4.148387097,4.470967742,3.638709677,2.748387097,4.909677419,5.332258065,7.216129032,3.983870968,4.338709677,3.977419355,3.632258065,3.867741935,4.55483871,4.490322581,4.477419355
1972,11,4.58,4.886666667,4.76,4.773333333,4.996666667,4.266666667,5.113333333,4.74,3.686666667,3.316666667,4.58,4.876666667,4.09,6.116666667,4.55,4.733333333,7.906666667,4.85,4.746666667,4.386666667,4.176666667,4.15,4.946666667,4.883333333,4.8
1972,12,0.65483871,0.641935484,0.929032258,0.716129032,0.635483871,0.632258065,0.748387097,0.629032258,0.574193548,0.564516129,0.670967742,0.561290323,0.661290323,0.316129032,1.625806452,1.309677419,0.177419355,0.770967742,0.790322581,0.65483871,0.703225806,0.690322581,0.890322581,0.641935484,0.670967742
1973,1,0.106451613,0.112903226,0.261290323,0.103225806,0.090322581,0.112903226,0.164516129,0.103225806,0.119354839,0.125806452,0.125806452,0.090322581,0.116129032,0,0,0.522580645,0,0.164516129,0.148387097,0.138709677,0.125806452,0.112903226,0.129032258,0.112903226,0.170967742
1973,2,0.092857143,0.103571429,0.164285714,0.092857143,0.092857143,0.096428571,0.121428571,0.1,0.089285714,0.089285714,0.1,0.1,0.085714286,0,0,0.296428571,0.128571429,0.107142857,0.110714286,0.103571429,0.085714286,0.089285714,0.1,0.103571429,0.135714286
1973,3,1.180645161,1.219354839,2.012903226,1.164516129,1.138709677,1.129032258,1.596774194,1.15483871,1.132258065,1.096774194,1.287096774,1.074193548,1.222580645,1.716129032,0.912903226,3.05483871,0.687096774,1.696774194,1.458064516,1.322580645,1.329032258,1.167741935,1.419354839,1.206451613,1.461290323
1973,4,0.696666667,0.746666667,1.1,0.7,0.696666667,0.683333333,0.893333333,0.713333333,0.636666667,0.616666667,0.736666667,0.696666667,0.66,0.583333333,0.296666667,1.756666667,0.816666667,0.856666667,0.813333333,0.753333333,0.693333333,0.663333333,0.773333333,0.746666667,0.89
1973,5,4.974193548,5.306451613,6.251612903,5.164516129,5.241935484,4.796774194,5.796774194,5.112903226,4.206451613,3.95483871,5.080645161,5.167741935,4.519354839,4.551612903,4.270967742,8.377419355,7.45483871,5.429032258,5.396774194,4.996774194,4.629032258,4.632258065,5.435483871,5.312903226,5.670967742
1973,6,3.216666667,3.336666667,3.23,3.556666667,3.453333333,3.08,3.286666667,3.28,2.506666667,2.34,3.15,3.27,2.866666667,1.73,6.286666667,3.4,4.486666667,2.99,3.386666667,2.943333333,2.886666667,3.086666667,3.826666667,3.346666667,3.133333333
1973,7,3.248387097,3.3,4.864516129,3.419354839,3.190322581,3.14516129,3.95483871,3.187096774,2.909677419,2.84516129,3.409677419,2.983870968,3.219354839,2.574193548,5.074193548,7.135483871,2.070967742,4.006451613,3.874193548,3.383870968,3.429032258,3.270967742,4.061290323,3.296774194,3.680645161
1973,8,2.774193548,2.825806452,4.025806452,2.751612903,2.867741935,2.6,3.658064516,2.803225806,2.516129032,2.312903226,3.009677419,2.551612903,2.9,5.512903226,3.041935484,4.916129032,2.358064516,3.932258065,3.351612903,2.935483871,3.196774194,2.887096774,3.416129032,2.8,3.090322581
1973,9,5.396666667,5.656666667,8.18,5.476666667,5.426666667,5.213333333,6.856666667,5.413333333,4.913333333,4.713333333,5.723333333,5.25,5.266666667,6.033333333,4.4,12.08,5.363333333,6.866666667,6.303333333,5.773333333,5.58,5.216666667,6.223333333,5.643333333,6.486666667
1973,10,3.435483871,3.706451613,2.829032258,3.651612903,3.880645161,3.193548387,3.529032258,3.609677419,2.577419355,2.267741935,3.325806452,3.835483871,2.880645161,4.080645161,3.580645161,1.938709677,7.296774194,3.135483871,3.316129032,3.1,2.841935484,3,3.541935484,3.712903226,3.403225806
1973,11,1.933333333,2.01,2.186666667,2.04,2.043333333,1.8,2.173333333,1.96,1.583333333,1.47,1.95,1.936666667,1.79,2.3,2.826666667,2.38,2.496666667,2.136666667,2.093333333,1.87,1.86,1.83,2.256666667,2.003333333,1.98
1973,12,0.080645161,0.077419355,0.112903226,0.067741935,0.080645161,0.058064516,0.129032258,0.074193548,0.080645161,0.064516129,0.093548387,0.064516129,0.1,0.519354839,0.061290323,0.032258065,0,0.180645161,0.103225806,0.093548387,0.122580645,0.074193548,0.106451613,0.074193548,0.074193548
1974,1,0.461290323,0.596774194,0,0.435483871,1.151612903,0.558064516,0.506451613,0.687096774,0.296774194,0.377419355,0.477419355,0.690322581,0.167741935,0.225806452,0,0.564516129,0.841935484,0.138709677,0.416129032,0.325806452,0.25483871,0.548387097,0.409677419,0.596774194,0.541935484
1974,2,0.310714286,0.289285714,0.153571429,0.335714286,0.282142857,0.267857143,0.471428571,0.335714286,0.210714286,0.382142857,0.307142857,0.317857143,0.439285714,1.321428571,0.310714286,0.65,1.089285714,0.542857143,0.271428571,0.246428571,0.389285714,0.282142857,0.321428571,0.285714286,0.407142857
1974,3,1.016129032,1.151612903,1.24516129,1.080645161,1.7,1.093548387,1.832258065,1.2,1.048387097,1.235483871,1.061290323,1.158064516,1.080645161,3.34516129,1.529032258,2.506451613,0.619354839,1.874193548,1.048387097,1.25483871,1.412903226,1.093548387,1.187096774,1.15483871,1.222580645
1974,4,3.723333333,3.103333333,10.05666667,4.676666667,5.026666667,1.713333333,4.703333333,3.92,3.453333333,3.583333333,7.443333333,3.12,5.456666667,6.45,6.45,5.34,7.7,6.32,4.77,6.356666667,9.26,4.153333333,5.13,3.1,5.833333333
